Atención;FEMENINO;MASCULINO;NO DEFINIDO;NR - NO REPORTADO;Año;Ubicación
F311 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO MANIACO PRESENTE SIN SINTOMAS PSICOTICOS;;;;;2019;17486 - Marulanda
F312 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO MANIACO PRESENTE CON SINTOMAS PSICOTICOS;;;;;2019;17487 - Marulanda
F313 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO PRESENTE LEVE O MODERADO;2;;;;2019;17488 - Marulanda
F314 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO GRAVE PRESENTE SIN SINTOMAS PSICOTICOS;1;;;;2019;17489 - Marulanda
F315 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO GRAVE PRESENTE CON SINTOMAS PSICOTICOS;;;;;2019;17490 - Marulanda
F317 - TRASTORNO AFECTIVO BIPOLAR, ACTUALMENTE EN REMISION;2;3;;;2019;17491 - Marulanda
F318 - OTROS TRASTORNOS AFECTIVOS BIPOLARES;4;6;;;2019;17492 - Marulanda
F319 - TRASTORNO AFECTIVO BIPOLAR, NO ESPECIFICADO;7;3;;;2019;17493 - Marulanda
F320 - EPISODIO DEPRESIVO LEVE;1;;;;2019;17494 - Marulanda
F321 - EPISODIO DEPRESIVO MODERADO;2;3;;;2019;17495 - Marulanda
F322 - EPISODIO DEPRESIVO GRAVE SIN SINTOMAS PSICOTICOS;1;2;;;2019;17496 - Marulanda
F323 - EPISODIO DEPRESIVO GRAVE CON SINTOMAS PSICOTICOS;;1;;;2019;17497 - Marulanda
F328 - OTROS EPISODIOS DEPRESIVOS;;;;;2019;17498 - Marulanda
F329 - EPISODIO DEPRESIVO, NO ESPECIFICADO;2;;;;2019;17499 - Marulanda
F330 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO LEVE PRESENTE;1;;;;2019;17500 - Marulanda
F331 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO MODERADO PRESENTE;2;3;;;2019;17501 - Marulanda
F338 - OTROS TRASTORNOS DEPRESIVOS RECURRENTES;1;;;;2019;17502 - Marulanda
F339 - TRASTORNO DEPRESIVO RECURRENTE, NO ESPECIFICADO;;1;;;2019;17503 - Marulanda
F39X - TRASTORNO DEL HUMOR [AFECTIVO], NO ESPECIFICADO;1;;;;2019;17504 - Marulanda
F410 - TRASTORNO DE PANICO [ANSIEDAD PAROXISTICA EPISODICA];;;;;2019;17505 - Marulanda
F411 - TRASTORNO DE ANSIEDAD GENERALIZADA;2;1;;;2019;17506 - Marulanda
F412 - TRASTORNO MIXTO DE ANSIEDAD Y DEPRESION;3;;;;2019;17507 - Marulanda
F413 - OTROS TRASTORNOS DE ANSIEDAD MIXTOS;;1;;;2019;17508 - Marulanda
F418 - OTROS TRASTORNOS DE ANSIEDAD ESPECIFICADOS;1;1;;;2019;17509 - Marulanda
F419 - TRASTORNO DE ANSIEDAD , NO ESPECIFICADO;3;1;;;2019;17510 - Marulanda
F420 - PREDOMINIO DE PENSAMIENTOS O RUMIACIONES OBSESIVAS;1;1;;;2019;17511 - Marulanda
F422 - ACTOS E IDEAS OBSESIVAS MIXTOS;;;;;2019;17512 - Marulanda
F429 - TRASTORNO OBSESIVO-COMPULSIVO, NO ESPECIFICADO;;;;;2019;17513 - Marulanda
F430 - REACCION AL ESTRÉS AGUDO;3;;;;2019;17514 - Marulanda
F431 - TRASTORNO DE ESTRÉS POSTRAUMATICO;1;2;;;2019;17515 - Marulanda
F432 - TRASTORNOS DE ADAPTACION;1;;;;2019;17516 - Marulanda
F439 - REACCION AL ESTRÉS GRAVE, NO ESPECIFICADA;;;;;2019;17517 - Marulanda
F449 - TRASTORNO DISOCIATIVO [DE CONVERSION], NO ESPECIFICADO;1;;;;2019;17518 - Marulanda
F454 - TRASTORNO DE DOLOR PERSISTENTE SOMATOMORFO;;;;;2019;17519 - Marulanda
F458 - OTROS TRASTORNOS SOMATOMORFOS;1;;;;2019;17520 - Marulanda
F500 - ANOREXIA NERVIOSA;;;;;2019;17521 - Marulanda
F504 - HIPERFAGIA ASOCIADA CON OTRAS ALTERACIONES PSICOLOGICAS;;1;;;2019;17522 - Marulanda
F508 - OTROS TRASTORNOS DE LA INGESTION DE ALIMENTOS;2;;;;2019;17523 - Marulanda
F510 - INSOMNIO NO ORGANICO;1;1;;;2019;17524 - Marulanda
F520 - FALTA O PERDIDA DEL DESEO SEXUAL;;;;;2019;17525 - Marulanda
F524 - EYACULACION PRECOZ;;;;;2019;17526 - Marulanda
F525 - VAGINISMO NO ORGANICO;;;;;2019;17527 - Marulanda
F526 - DISPAREUNIA NO ORGANICA;;;;;2019;17528 - Marulanda
F529 - DISFUNCION SEXUAL, NO OCASIONADA POR TRASTORNO NI POR ENFERMEDAD ORGANICOS, NO ESPECIFICADA;;;;;2019;17529 - Marulanda
F602 - TRASTORNO ASOCIAL DE LA PERSONALIDAD;;;;;2019;17530 - Marulanda
F604 - TRASTORNO HISTRIONICO DE LA PERSONALIDAD;;;;;2019;17531 - Marulanda
F658 - OTROS TRASTORNOS DE LA PREFERENCIA SEXUAL;;;;;2019;17532 - Marulanda
F69X - TRASTORNO DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS, NO ESPECIFICADO;;1;;;2019;17533 - Marulanda
F700 - RETRASO MENTAL LEVE: DETERIORO DEL COMPORTAMIENTO NULO O MINIMO;1;;;;2019;17534 - Marulanda
F701 - RETRASO MENTAL LEVE: DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO, QUE REQUIERE ATENCION O TRATAMIENTO;;;;;2019;17535 - Marulanda
F709 - RETRASO MENTAL LEVE: DETERIORO DEL COMPORTAMIENTO DE GRADO NO ESPECIFICADO;;1;;;2019;17536 - Marulanda
F710 - RETRASO MENTAL MODERADO: DETERIORO DEL COMPORTAMIENTO NULO O MINIMO;;;;;2019;17537 - Marulanda
F720 - RETRASO MENTAL GRAVE: DETERIORO DEL COMPORTAMIENTO NULO O MINIMO;;;;;2019;17538 - Marulanda
F721 - RETRASO MENTAL GRAVE: DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO, QUE REQUIERE ATENCION O TRATAMIENTO;;2;;;2019;17539 - Marulanda
F791 - RETRASO MENTAL, NO ESPECIFICADO: DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO, QUE REQUIERE ATENCION O TRATAMIENTO;;1;;;2019;17540 - Marulanda
F798 - RETRASO MENTAL, NO ESPECIFICADO: OTROS DETERIOROS DEL COMPORTAMIENTO;;;;;2019;17541 - Marulanda
F800 - TRASTORNO ESPECIFICO DE LA PRONUNCIACION;;1;;;2019;17542 - Marulanda
F808 - OTROS TRASTORNOS DEL DESARROLLO DEL HABLA Y DEL LENGUAJE;;;;;2019;17543 - Marulanda
F809 - TRASTORNO DEL DESARROLLO DEL HABLA Y DEL LENGUAJE NO ESPECIFICADO;;;;;2019;17544 - Marulanda
F811 - TRASTORNO ESPECIFICO DEL DELETREO (ORTOGRAFIA);;;;;2019;17545 - Marulanda
F813 - TRASTORNO MIXTO DE LAS HABILIDADES ESCOLARES;;1;;;2019;17546 - Marulanda
F818 - OTROS TRASTORNOS DEL DESARROLLO DE LAS HABILIDADES ESCOLARES;;2;;;2019;17547 - Marulanda
F819 - TRASTORNO DEL DESARROLLO DE LAS HABILIDADES ESCOLARES, NO ESPECIFICADO;;1;;;2019;17548 - Marulanda
F82X - TRASTORNO ESPECIFICO DEL DESARROLLO DE LA FUNCION MOTRIZ;;;;;2019;17549 - Marulanda
F900 - PERTURBACION DE LA ACTIVIDAD Y DE LA ATENCION;1;2;;;2019;17550 - Marulanda
F901 - TRASTORNO HIPERCINETICO DE LA CONDUCTA;2;1;;;2019;17551 - Marulanda
F908 - OTROS TRASTORNOS HIPERCINETICOS;;;;;2019;17552 - Marulanda
F910 - TRASTORNO DE LA CONDUCTA LIMITADO AL CONTEXTO FAMILIAR;;1;;;2019;17553 - Marulanda
F913 - TRASTORNO OPOSITOR DESAFIANTE;;;;;2019;17554 - Marulanda
F918 - OTROS TRASTORNOS DE LA CONDUCTA;1;;;;2019;17555 - Marulanda
F919 - TRASTORNO DE LA CONDUCTA, NO ESPECIFICADO;2;1;;;2019;17556 - Marulanda
F928 - OTROS TRASTORNOS MIXTOS DE LA CONDUCTA Y DE LAS EMOCIONES;;;;;2019;17557 - Marulanda
F929 - TRASTORNO MIXTO DE LA CONDUCTA Y DE LAS EMOCIONES, NO ESPECIFICADO;;;;;2019;17558 - Marulanda
F932 - TRASTORNO DE ANSIEDAD SOCIAL EN LA NIÑEZ;;;;;2019;17559 - Marulanda
F933 - TRASTORNO DE RIVALIDAD ENTRE HERMANOS;2;;;;2019;17560 - Marulanda
F941 - TRASTORNO DE VINCULACION REACTIVA EN LA NIÑEZ;;;;;2019;17561 - Marulanda
F948 - OTROS TRASTORNOS DEL COMPORTAMIENTO SOCIAL EN LA NIÑEZ;2;;;;2019;17562 - Marulanda
F949 - TRASTORNO DEL COMPORTAMIENTO SOCIAL EN LA NIÑEZ, NO ESPECIFICADO;1;;;;2019;17563 - Marulanda
F988 - OTROS TRASTORNOS EMOCIONALES Y DEL COMPORTAMIENTO QUE APARECEN HABITUALMENTE EN LA NIÑEZ Y EN LA ADOLESCENCIA;3;2;;;2019;17564 - Marulanda
F989 - TRASTORNOS NO ESPECIFICADOS, EMOCIONALES Y DEL COMPORTAMIENTO, QUE APARECEN HABITUALMENTE EN LA NIÑEZ Y EN LA ADOLESCENCIA;;;;;2019;17565 - Marulanda
F000 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, DE COMIENZO TEMPRANO (G30.0†);;2;;;2019;17487 - Neira
F001 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, DE COMIENZO TARDIO (G30.1†);1;1;;;2019;17488 - Neira
F002 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, ATIPICA O DE TIPO MIXTO (G30.8†);;1;;;2019;17489 - Neira
F009 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, NO ESPECIFICADA (G30.9†);4;;;;2019;17490 - Neira
F010 - DEMENCIA VASCULAR DE COMIENZO AGUDO;;;;;2019;17491 - Neira
F012 - DEMENCIA VASCULAR SUBCORTICAL;;1;;;2019;17492 - Neira
F013 - DEMENCIA VASCULAR MIXTA, CORTICAL Y SUBCORTICAL;;;;;2019;17493 - Neira
F018 - OTRAS DEMENCIAS VASCULARES;;;;;2019;17494 - Neira
F019 - DEMENCIA VASCULAR, NO ESPECIFICADA;;;;;2019;17495 - Neira
F022 - DEMENCIA EN LA ENFERMEDAD DE HUNTINGTON (G10†);;;;;2019;17496 - Neira
F028 - DEMENCIA EN OTRAS ENFERMEDADES ESPECIFICADAS CLASIFICADAS EN OTRA PARTE;;1;;;2019;17497 - Neira
F03X - DEMENCIA , NO ESPECIFICADA;7;4;;;2019;17498 - Neira
F04X - SINDROME AMNESICO ORGANICO, NO INDUCIDO POR ACOHOL O POR OTRAS SUSTANCIAS PSICOACTIVAS;;;;;2019;17499 - Neira
F050 - DELIRIO NO SUPERPUESTO A UN CUADRO DE DEMENCIA, ASI DESCRITO;;;;;2019;17500 - Neira
F051 - DELIRIO SUPERPUESTO A UN CUADRO DE DEMENCIA;2;;;;2019;17501 - Neira
F058 - OTROS DELIRIOS;;1;;;2019;17502 - Neira
F059 - DELIRIO, NO ESPECIFICADO;7;5;;;2019;17503 - Neira
F060 - ALUCINOSIS ORGANICA;;;;;2019;17504 - Neira
F061 - TRASTORNO CATATONICO, ORGANICO;;1;;;2019;17505 - Neira
F063 - TRASTORNOS DEL HUMOR [AFECTIVOS], ORGANICOS;;;;;2019;17506 - Neira
F064 - TRASTORNO DE ANSIEDAD, ORGANICO;;;;;2019;17507 - Neira
F066 - TRASTORNO DE LABILIDAD EMOCIONAL [ASTENICO], ORGANICO;;;;;2019;17508 - Neira
F067 - TRASTORNO COGNOSCITIVO LEVE;3;7;;;2019;17509 - Neira
F068 - OTROS TRASTORNOS MENTALES ESPECIFICADOS DEBIDOS A LESION Y DISFUNCION CEREBRAL Y A ENFERMEDAD FISICA;2;1;;;2019;17510 - Neira
F069 - TRASTORNO MENTAL NO ESPECIFICADO DEBIDO A LESION Y DISFUNCION CEREBRAL Y A ENFERMEDAD FISICA;;3;;;2019;17511 - Neira
F070 - TRASTORNO DE LA PERSONALIDAD, ORGANICO;;;;;2019;17512 - Neira
F072 - SINDROME POSTCONCUSIONAL;1;;;;2019;17513 - Neira
F079 - TRASTORNO ORGANICO DE LA PERSONALIDAD Y DEL COMPORTAMIENTO, NO ESPECIFICADO, DEBIDO A ENFERMEDAD, LESION Y DISFUNCION CEREBRAL;;1;;;2019;17514 - Neira
F09X - TRASTORNO MENTAL ORGANICO O SINTOMATICO, NO ESPECIFICADO;2;1;;;2019;17515 - Neira
F100 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: INTOXICACION AGUDA;;;;;2019;17516 - Neira
F101 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: USO NOCIVO;1;;;;2019;17517 - Neira
F102 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: SINDROME DE DEPENDENCIA;;;;;2019;17518 - Neira
F103 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: ESTADO DE ABSTINENCIA;;;;;2019;17519 - Neira
F104 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: ESTADO DE ABSTINENCIA CON DELIRIO;;;;;2019;17520 - Neira
F108 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;1;;;2019;17521 - Neira
F109 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;;2;;;2019;17522 - Neira
F112 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: SINDROME DE DEPENDENCIA;;1;;;2019;17523 - Neira
F114 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: ESTADO DE ABSTINENCIA CON DELIRIO;;;;;2019;17524 - Neira
F119 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;;1;;;2019;17525 - Neira
F120 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: INTOXICACION AGUDA;;1;;;2019;17526 - Neira
F121 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: USO NOCIVO;;2;;;2019;17527 - Neira
F122 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: SINDROME DE DEPENDENCIA;;1;;;2019;17528 - Neira
F123 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: ESTADO DE ABSTINENCIA;;;;;2019;17529 - Neira
F124 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: ESTADO DE ABSTINENCIA CON DELIRIO;;;;;2019;17530 - Neira
F125 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: TRASTORNO PSICOTICO;;;;;2019;17531 - Neira
F126 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: SINDROME AMNESICO;;;;;2019;17532 - Neira
F128 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;3;;;2019;17533 - Neira
F129 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;;;;;2019;17534 - Neira
F130 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: INTOXICACION AGUDA;3;;;;2019;17535 - Neira
F131 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: USO NOCIVO;;;;;2019;17536 - Neira
F132 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: SINDROME DE DEPENDENCIA;1;;;;2019;17537 - Neira
F140 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: INTOXICACION AGUDA;;1;;;2019;17538 - Neira
F142 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: SINDROME DE DEPENDENCIA;;;;;2019;17539 - Neira
F143 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: ESTADO DE ABSTINENCIA;1;1;;;2019;17540 - Neira
F145 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: TRASTORNO PSICOTICO;;;;;2019;17541 - Neira
F149 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;;;;;2019;17542 - Neira
F151 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA: USO NOCIVO;;;;;2019;17543 - Neira
F153 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA: ESTADO DE ABSTINENCIA;;;;;2019;17544 - Neira
F159 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;;1;;;2019;17545 - Neira
F160 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: INTOXICACION AGUDA;1;;;;2019;17546 - Neira
F162 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: SINDROME DE DEPENDENCIA;;1;;;2019;17547 - Neira
F163 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: ESTADO DE ABSTINENCIA;1;1;;;2019;17548 - Neira
F164 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: ESTADO DE ABSTINENCIA CON DELIRIO;1;;;;2019;17549 - Neira
F167 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO;;;;;2019;17550 - Neira
F168 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;;;;2019;17551 - Neira
F169 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;1;1;;;2019;17552 - Neira
F170 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: INTOXICACION AGUDA;;;;;2019;17553 - Neira
F172 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: SINDROME DE DEPENDENCIA;;;;;2019;17554 - Neira
F173 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: ESTADO DE ABSTINENCIA;;;;;2019;17555 - Neira
F180 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: INTOXICACION AGUDA;;;;;2019;17556 - Neira
F185 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: TRASTORNO PSICOTICO;;;;;2019;17557 - Neira
F190 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: INTOXICACION AGUDA;2;6;;;2019;17558 - Neira
F191 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: USO NOCIVO;2;1;;;2019;17559 - Neira
F192 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: SINDROME DE DEPENDENCIA;;6;;;2019;17560 - Neira
F193 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: ESTADO DE ABSTINENCIA;;;;;2019;17561 - Neira
F195 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: TRASTORNO PSICOTICO;;2;;;2019;17562 - Neira
F197 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO;;;;;2019;17563 - Neira
F198 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;3;;;2019;17564 - Neira
F199 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;;3;;;2019;17565 - Neira
F200 - ESQUIZOFRENIA PARANOIDE;5;10;;;2019;17566 - Neira
F202 - ESQUIZOFRENIA CATATONICA;;1;;;2019;17567 - Neira
F203 - ESQUIZOFRENIA INDIFERENCIADA;1;5;;;2019;17568 - Neira
F204 - DEPRESION POSTESQUIZOFRENICA;;;;;2019;17569 - Neira
F205 - ESQUIZOFRENIA RESIDUAL;;;;;2019;17570 - Neira
F206 - ESQUIZOFRENIA SIMPLE;1;1;;;2019;17571 - Neira
F208 - OTRAS ESQUIZOFRENIAS;2;8;;;2019;17572 - Neira
F209 - ESQUIZOFRENIA, NO ESPECIFICADA;1;9;;;2019;17573 - Neira
F220 - TRASTORNO DELIRANTE;;1;;;2019;17574 - Neira
F229 - TRASTORNO DELIRANTE PERSISTENTE, NO ESPECIFICADO;;;;;2019;17575 - Neira
F230 - TRASTORNO PSICOTICO AGUDO POLIMORFO, SIN SINTOMAS DE ESQUIZOFRENIA;;;;;2019;17576 - Neira
F231 - TRASTORNO PSICOTICO AGUDO POLIMORFO, CON SINTOMAS DE ESQUIZOFRENIA;;1;;;2019;17577 - Neira
F232 - TRASTORNO PSICOTICO AGUDO DE TIPO ESQUIZOFRENICO;2;2;;;2019;17578 - Neira
F233 - OTRO TRASTORNO PSICOTICO AGUDO, CON PREDOMINIO DE IDEAS DELIRANTES;1;3;;;2019;17579 - Neira
F238 - OTROS TRASTORNOS PSICOTICOS AGUDOS Y TRANSITORIOS;;1;;;2019;17580 - Neira
F239 - TRASTORNO PSICOTICO AGUDO Y TRANSITORIO, NO ESPECIFICADO DE TIPO ESQUIZOFRENICO;;;;;2019;17581 - Neira
F250 - TRASTORNO ESQUIZOAFECTIVO DE TIPO MANIACO;;1;;;2019;17582 - Neira
F252 - TRASTORNO ESQUIZOAFECTIVO DE TIPO MIXTO;;1;;;2019;17583 - Neira
F258 - OTROS TRASTORNOS ESQUIZOAFECTIVOS;;;;;2019;17584 - Neira
F259 - TRASTORNO ESQUIZOAFECTIVO, NO ESPECIFICADO;;2;;;2019;17585 - Neira
F29X - PSICOSIS DE ORIGEN NO ORGANICO, NO ESPECIFICADA;;1;;;2019;17586 - Neira
F301 - MANIA SIN SINTOMAS PSICOTICOS;;1;;;2019;17587 - Neira
F302 - MANIA CON SINTOMAS PSICOTICOS;;;;;2019;17588 - Neira
F309 - EPISODIO MANIACO, NO ESPECIFICADO;;;;;2019;17589 - Neira
F310 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO HIPOMANIACO PRESENTE;3;2;;;2019;17590 - Neira
F311 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO MANIACO PRESENTE SIN SINTOMAS PSICOTICOS;3;5;;;2019;17591 - Neira
F312 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO MANIACO PRESENTE CON SINTOMAS PSICOTICOS;6;8;;1;2019;17592 - Neira
F313 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO PRESENTE LEVE O MODERADO;15;6;;;2019;17593 - Neira
F314 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO GRAVE PRESENTE SIN SINTOMAS PSICOTICOS;4;9;;;2019;17594 - Neira
F315 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO GRAVE PRESENTE CON SINTOMAS PSICOTICOS;3;1;;;2019;17595 - Neira
F316 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO MIXTO PRESENTE;6;6;;;2019;17596 - Neira
F317 - TRASTORNO AFECTIVO BIPOLAR, ACTUALMENTE EN REMISION;20;21;;;2019;17597 - Neira
F318 - OTROS TRASTORNOS AFECTIVOS BIPOLARES;37;37;;;2019;17598 - Neira
F319 - TRASTORNO AFECTIVO BIPOLAR, NO ESPECIFICADO;32;26;;;2019;17599 - Neira
F320 - EPISODIO DEPRESIVO LEVE;20;13;;;2019;17600 - Neira
F321 - EPISODIO DEPRESIVO MODERADO;52;20;;;2019;17601 - Neira
F322 - EPISODIO DEPRESIVO GRAVE SIN SINTOMAS PSICOTICOS;14;13;;;2019;17602 - Neira
F323 - EPISODIO DEPRESIVO GRAVE CON SINTOMAS PSICOTICOS;4;4;;;2019;17603 - Neira
F328 - OTROS EPISODIOS DEPRESIVOS;11;3;;;2019;17604 - Neira
F329 - EPISODIO DEPRESIVO, NO ESPECIFICADO;31;11;;;2019;17605 - Neira
F330 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO LEVE PRESENTE;3;2;;;2019;17606 - Neira
F331 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO MODERADO PRESENTE;32;20;;;2019;17607 - Neira
F332 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO DEPRESIVO GRAVE PRESENTE SIN SINTOMAS PSICOTICOS;2;5;;;2019;17608 - Neira
F333 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO DEPRESIVO GRAVE PRESENTE, CON SINTOMAS PSICOTICOS;;1;;;2019;17609 - Neira
