Atención;FEMENINO;MASCULINO;NO DEFINIDO;NR - NO REPORTADO;Año
F160 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: INTOXICACION AGUDA;;2;;;2019
F163 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: ESTADO DE ABSTINENCIA;;1;;;2019
F165 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: TRASTORNO PSICOTICO;;;;;2019
F168 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;1;;;;2019
F172 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: SINDROME DE DEPENDENCIA;1;;;;2019
F173 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: ESTADO DE ABSTINENCIA;;1;;;2019
F176 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: SINDROME AMNESICO;;;;;2019
F180 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: INTOXICACION AGUDA;;1;;;2019
F181 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: USO NOCIVO;;;;;2019
F190 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: INTOXICACION AGUDA;;2;;;2019
F191 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: USO NOCIVO;1;7;;;2019
F192 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: SINDROME DE DEPENDENCIA;2;2;;;2019
F195 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: TRASTORNO PSICOTICO;;;;;2019
F198 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;1;2;;;2019
F199 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;1;3;;;2019
F200 - ESQUIZOFRENIA PARANOIDE;1;9;;;2019
F201 - ESQUIZOFRENIA HEBEFRENICA;;;;;2019
F203 - ESQUIZOFRENIA INDIFERENCIADA;1;2;;;2019
F205 - ESQUIZOFRENIA RESIDUAL;;;;;2019
F206 - ESQUIZOFRENIA SIMPLE;;;;;2019
F208 - OTRAS ESQUIZOFRENIAS;2;11;;;2019
F209 - ESQUIZOFRENIA, NO ESPECIFICADA;7;18;;;2019
F220 - TRASTORNO DELIRANTE;;;;;2019
F229 - TRASTORNO DELIRANTE PERSISTENTE, NO ESPECIFICADO;;;;;2019
F231 - TRASTORNO PSICOTICO AGUDO POLIMORFO, CON SINTOMAS DE ESQUIZOFRENIA;;;;;2019
F232 - TRASTORNO PSICOTICO AGUDO DE TIPO ESQUIZOFRENICO;;1;;;2019
F233 - OTRO TRASTORNO PSICOTICO AGUDO, CON PREDOMINIO DE IDEAS DELIRANTES;1;1;;;2019
F238 - OTROS TRASTORNOS PSICOTICOS AGUDOS Y TRANSITORIOS;;;;;2019
F239 - TRASTORNO PSICOTICO AGUDO Y TRANSITORIO, NO ESPECIFICADO DE TIPO ESQUIZOFRENICO;;1;;;2019
F250 - TRASTORNO ESQUIZOAFECTIVO DE TIPO MANIACO;;;;;2019
F251 - TRASTORNO ESQUIZOAFECTIVO DE TIPO DEPRESIVO;;;;;2019
F258 - OTROS TRASTORNOS ESQUIZOAFECTIVOS;;;;;2019
F259 - TRASTORNO ESQUIZOAFECTIVO, NO ESPECIFICADO;;2;;;2019
F28X - OTROS TRASTORNOS PSICOTICOS DE ORIGEN NO ORGANICO;;;;;2019
F29X - PSICOSIS DE ORIGEN NO ORGANICO, NO ESPECIFICADA;1;5;;;2019
F301 - MANIA SIN SINTOMAS PSICOTICOS;;;;;2019
F302 - MANIA CON SINTOMAS PSICOTICOS;;1;;;2019
F309 - EPISODIO MANIACO, NO ESPECIFICADO;;1;;;2019
F310 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO HIPOMANIACO PRESENTE;2;4;;;2019
F311 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO MANIACO PRESENTE SIN SINTOMAS PSICOTICOS;8;7;;;2019
F312 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO MANIACO PRESENTE CON SINTOMAS PSICOTICOS;8;7;;;2019
F313 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO PRESENTE LEVE O MODERADO;8;3;;;2019
F314 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO GRAVE PRESENTE SIN SINTOMAS PSICOTICOS;3;1;;;2019
F315 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO GRAVE PRESENTE CON SINTOMAS PSICOTICOS;6;3;;;2019
F316 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO MIXTO PRESENTE;2;2;;;2019
F317 - TRASTORNO AFECTIVO BIPOLAR, ACTUALMENTE EN REMISION;19;19;;;2019
F318 - OTROS TRASTORNOS AFECTIVOS BIPOLARES;19;20;;;2019
F319 - TRASTORNO AFECTIVO BIPOLAR, NO ESPECIFICADO;48;39;;;2019
F320 - EPISODIO DEPRESIVO LEVE;14;7;;;2019
F321 - EPISODIO DEPRESIVO MODERADO;25;20;;;2019
F322 - EPISODIO DEPRESIVO GRAVE SIN SINTOMAS PSICOTICOS;10;8;;;2019
F323 - EPISODIO DEPRESIVO GRAVE CON SINTOMAS PSICOTICOS;1;2;;;2019
F328 - OTROS EPISODIOS DEPRESIVOS;6;3;;;2019
F329 - EPISODIO DEPRESIVO, NO ESPECIFICADO;11;5;;;2019
F330 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO LEVE PRESENTE;4;1;;;2019
F331 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO MODERADO PRESENTE;22;9;;;2019
F332 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO DEPRESIVO GRAVE PRESENTE SIN SINTOMAS PSICOTICOS;1;3;;;2019
F333 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO DEPRESIVO GRAVE PRESENTE, CON SINTOMAS PSICOTICOS;;;;;2019
F334 - TRASTORNO DEPRESIVO RECURRENTE ACTUALMENTE EN REMISION;5;2;;;2019
F338 - OTROS TRASTORNOS DEPRESIVOS RECURRENTES;23;6;;;2019
F339 - TRASTORNO DEPRESIVO RECURRENTE, NO ESPECIFICADO;2;3;;;2019
F340 - CICLOTIMIA;43;3;;;2019
F341 - DISTIMIA;3;1;;;2019
F348 - OTROS TRASTORNOS DEL HUMOR [AFECTIVOS] PERSISTENTES;1;;;;2019
F349 - TRASTORNO PERSISTENTE DEL HUMOR [AFECTIVO], NO ESPECIFICADO;1;1;;;2019
F380 - OTROS TRASTORNOS DEL HUMOR [AFECTIVOS], AISLADOS;;1;;;2019
F381 - OTROS TRASTORNOS DEL HUMOR [AFECTIVOS], RECURRENTES;1;;;;2019
F388 - OTROS TRASTORNOS DEL HUMOR [AFECTIVOS], ESPECIFICADOS;;;;;2019
F39X - TRASTORNO DEL HUMOR [AFECTIVO], NO ESPECIFICADO;1;1;;;2019
F400 - AGORAFOBIA;1;;;;2019
F401 - FOBIAS SOCIALES;;1;;;2019
F402 - FOBIAS ESPECIFICADAS [AISLADAS];1;;;;2019
F408 - OTROS TRASTORNOS FOBICOS DE ANSIEDAD;;1;;;2019
F409 - TRASTORNO FOBICO DE ANSIEDAD, NO ESPECIFICADO;;1;;;2019
F410 - TRASTORNO DE PANICO [ANSIEDAD PAROXISTICA EPISODICA];3;2;;;2019
F411 - TRASTORNO DE ANSIEDAD GENERALIZADA;8;5;;;2019
F412 - TRASTORNO MIXTO DE ANSIEDAD Y DEPRESION;76;33;;;2019
F413 - OTROS TRASTORNOS DE ANSIEDAD MIXTOS;58;22;;;2019
F418 - OTROS TRASTORNOS DE ANSIEDAD ESPECIFICADOS;9;9;;;2019
F419 - TRASTORNO DE ANSIEDAD , NO ESPECIFICADO;42;19;;;2019
F420 - PREDOMINIO DE PENSAMIENTOS O RUMIACIONES OBSESIVAS;;;;;2019
F421 - PREDOMINIO DE ACTOS COMPULSIVOS [RITUALES OBSESIVOS];;;;;2019
F422 - ACTOS E IDEAS OBSESIVAS MIXTOS;;;;;2019
F428 - OTROS TRASTORNOS OBSESIVO-COMPULSIVOS;;1;;;2019
F429 - TRASTORNO OBSESIVO-COMPULSIVO, NO ESPECIFICADO;;;;;2019
F430 - REACCION AL ESTRÉS AGUDO;2;;;;2019
F431 - TRASTORNO DE ESTRÉS POSTRAUMATICO;4;2;;;2019
F432 - TRASTORNOS DE ADAPTACION;29;17;;;2019
F438 - OTRAS REACCIONES AL ESTRÉS GRAVE;2;;;;2019
F439 - REACCION AL ESTRÉS GRAVE, NO ESPECIFICADA;1;;;;2019
F441 - FUGA DISOCIATIVA;;;;;2019
F444 - TRASTORNOS DISOCIATIVOS DEL MOVIMIENTO;;;;;2019
F445 - CONVULSIONES DISOCIATIVAS;;1;;;2019
F447 - TRASTORNOS DISOCIATIVOS MIXTOS [Y DE CONVERSION];;;;;2019
F448 - OTROS TRASTORNOS DISOCIATIVOS [DE CONVERSION];1;;;;2019
F449 - TRASTORNO DISOCIATIVO [DE CONVERSION], NO ESPECIFICADO;1;;;;2019
F450 - TRASTORNO DE SOMATIZACION;1;1;;;2019
F451 - TRASTORNO SOMATOMORFO INDIFERENCIADO;1;;;;2019
F452 - TRASTORNO HIPOCONDRIACO;;;;;2019
F454 - TRASTORNO DE DOLOR PERSISTENTE SOMATOMORFO;2;1;;;2019
F458 - OTROS TRASTORNOS SOMATOMORFOS;;;;;2019
F459 - TRASTORNO SOMATOMORFO, NO ESPECIFICADO;2;;;;2019
F480 - NEURASTENIA;;;;;2019
F481 - SINDROME DE DESPERSONALIZACION Y DESVINCULACION DE LA REALIDAD;;;;;2019
F488 - OTROS TRASTORNOS NEUROTICOS ESPECIFICADOS;2;;;;2019
F504 - HIPERFAGIA ASOCIADA CON OTRAS ALTERACIONES PSICOLOGICAS;;;;;2019
F508 - OTROS TRASTORNOS DE LA INGESTION DE ALIMENTOS;1;;;;2019
F509 - TRASTORNO DE LA INGESTION DE ALIMENTOS, NO ESPECIFICADO;;;;;2019
F510 - INSOMNIO NO ORGANICO;19;8;;;2019
F511 - HIPERSOMNIO NO ORGANICO;;1;;;2019
F512 - TRASTORNO NO ORGANICO DEL CICLO SUEÑO-VIGILIA;1;;;;2019
F514 - TERRORES DEL SUEÑO [TERRORES NOCTURNOS];;1;;;2019
F515 - PESADILLAS;;1;;;2019
F518 - OTROS TRASTORNOS NO ORGANICOS DEL SUEÑO;;;;;2019
F519 - TRASTORNO NO ORGANICO DEL SUEÑO, NO ESPECIFICADO;;1;;;2019
F520 - FALTA O PERDIDA DEL DESEO SEXUAL;;;;;2019
F522 - FALLA DE LA RESPUESTA GENITAL;;2;;;2019
F523 - DISFUNCION ORGASMICA;;;;;2019
F524 - EYACULACION PRECOZ;;;;;2019
F525 - VAGINISMO NO ORGANICO;;;;;2019
F526 - DISPAREUNIA NO ORGANICA;;;;;2019
F528 - OTRAS DISFUNCIONES SEXUALES, NO OCASIONADAS POR TRASTORNO NI POR ENFERMEDAD ORGANICOS;;2;;;2019
F529 - DISFUNCION SEXUAL, NO OCASIONADA POR TRASTORNO NI POR ENFERMEDAD ORGANICOS, NO ESPECIFICADA;2;2;;;2019
F530 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO LEVES, ASOCIADOS CON EL PUERPERIO, NO CLASIFICADOS EN OTRA PARTE;;;;;2019
F531 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO GRAVES, ASOCIADOS CON EL PUERPERIO, NO CLASIFICADOS EN OTRA PARTE;;;;;2019
F54X - FACTORES PSICOLOGICOS Y DEL COMPORTAMIENTO ASOCIADOS CON TRASTORNOS O ENFERMEDADES CLASIFICADOS EN OTRA PARTE;;1;;;2019
F55X - ABUSO DE SUSTANCIAS QUE NO PRODUCEN DEPENDENCIA;;;;;2019
F59X - SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORES FISICOS, NO ESPECIFICADOS;1;1;;;2019
F600 - TRASTORNO PARANOIDE DE LA PERSONALIDAD;;1;;;2019
F602 - TRASTORNO ASOCIAL DE LA PERSONALIDAD;;1;;;2019
F603 - TRASTORNO DE LA PERSONALIDAD EMOCIONALMENTE INESTABLE;2;2;;;2019
F605 - TRASTORNO ANANCASTICO DE LA PERSONALIDAD;;;;;2019
F607 - TRASTORNO DE LA PERSONALIDAD DEPENDIENTE;;;;;2019
F608 - OTROS TRASTORNOS ESPECIFICOS DE LA PERSONALIDAD;;1;;;2019
F609 - TRASTORNO DE LA PERSONALIDAD, NO ESPECIFICADO;1;1;;;2019
F629 - CAMBIO PERDURABLE DE LA PERSONALIDAD, NO ESPECIFICADO;;1;;;2019
F630 - JUEGO PATOLOGICO;;;;;2019
F632 - HURTO PATOLOGICO (CLEPTOMANIA);;;;;2019
F633 - TRICOTILOMANIA;;;;;2019
F638 - OTROS TRASTORNOS DE LOS HABITOS Y DE LOS IMPULSOS;;1;;;2019
F639 - TRASTORNO DE LOS HABITOS Y DE LOS IMPULSOS, NO ESPECIFICADO;;;;;2019
F648 - OTROS TRASTORNOS DE LA IDENTIDAD DE GENERO;;;;;2019
F649 - TRASTORNO DE LA IDENTIDAD DE GENERO, NO ESPECIFICADO;;;;;2019
F662 - TRASTORNO DE LA RELACION SEXUAL;;1;;;2019
F668 - OTROS TRASTORNOS DEL DESARROLLO PSICOSEXUAL;;;;;2019
F669 - TRASTORNO DEL DESARROLLO PSICOSEXUAL, NO ESPECIFICADO;;;;;2019
F680 - ELABORACION DE SINTOMAS FISICOS POR CAUSAS PSICOLOGICAS;;;;;2019
F681 - PRODUCCION INTENCIONAL O SIMULACION DE SINTOMAS O DE INCAPACIDADES, TANTO FISICAS COMO PSICOLOGICAS [TRASTORNO FACTICIO];1;;;;2019
F688 - OTROS TRASTORNOS ESPECIFICADOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;;;;;2019
F69X - TRASTORNO DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS, NO ESPECIFICADO;;2;;;2019
F700 - RETRASO MENTAL LEVE: DETERIORO DEL COMPORTAMIENTO NULO O MINIMO;6;2;;;2019
F701 - RETRASO MENTAL LEVE: DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO, QUE REQUIERE ATENCION O TRATAMIENTO;;4;;;2019
F708 - RETRASO MENTAL LEVE: OTROS DETERIOROS DEL COMPORTAMIENTO;;;;;2019
F709 - RETRASO MENTAL LEVE: DETERIORO DEL COMPORTAMIENTO DE GRADO NO ESPECIFICADO;2;;;;2019
F710 - RETRASO MENTAL MODERADO: DETERIORO DEL COMPORTAMIENTO NULO O MINIMO;3;3;;;2019
F711 - RETRASO MENTAL MODERADO: DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO, QUE REQUIERE ATENCION O TRATAMIENTO;1;4;;;2019
F718 - RETRASO MENTAL MODERADO: OTROS DETERIOROS DEL COMPORTAMIENTO;;1;;;2019
F719 - RETRASO MENTAL MODERADO: DETERIORO DEL COMPORTAMIENTO DE GRADO NO ESPECIFICADO;;1;;;2019
F720 - RETRASO MENTAL GRAVE: DETERIORO DEL COMPORTAMIENTO NULO O MINIMO;1;1;;;2019
F721 - RETRASO MENTAL GRAVE: DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO, QUE REQUIERE ATENCION O TRATAMIENTO;2;7;;;2019
F728 - RETRASO MENTAL GRAVE: OTROS DETERIOROS DEL COMPORTAMIENTO;1;1;;;2019
F729 - RETRASO MENTAL GRAVE: DETERIORO DEL COMPORTAMIENTO DE GRADO NO ESPECIFICADO;;;;;2019
F730 - RETRASO MENTAL PROFUNDO: DETERIORO DEL COMPORTAMIENTO NULO O MINIMO;;;;;2019
F731 - RETRASO MENTAL PROFUNDO: DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO, QUE REQUIERE ATENCION O TRATAMIENTO;;;;;2019
F788 - OTROS TIPOS DE RETRASO MENTAL PROFUNDO: OTROS DETERIOROS DEL COMPORTAMIENTO;;1;;;2019
F790 - RETRASO MENTAL, NO ESPECIFICADO: DETERIORO DEL COMPORTAMIENTO NULO O MINIMO;1;1;;;2019
F791 - RETRASO MENTAL, NO ESPECIFICADO: DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO, QUE REQUIERE ATENCION O TRATAMIENTO;2;3;;;2019
F798 - RETRASO MENTAL, NO ESPECIFICADO: OTROS DETERIOROS DEL COMPORTAMIENTO;2;1;;;2019
F799 - RETRASO MENTAL, NO ESPECIFICADO: DETERIORO DEL COMPORTAMIENTO DE GRADO NO ESPECIFICADO;3;2;;;2019
F800 - TRASTORNO ESPECIFICO DE LA PRONUNCIACION;2;;;;2019
F801 - TRASTORNO DEL LENGUAJE EXPRESIVO;1;2;;;2019
F808 - OTROS TRASTORNOS DEL DESARROLLO DEL HABLA Y DEL LENGUAJE;2;5;;;2019
F809 - TRASTORNO DEL DESARROLLO DEL HABLA Y DEL LENGUAJE NO ESPECIFICADO;2;2;;;2019
F810 - TRASTORNO ESPECIFICO DE LA LECTURA;;1;;;2019
F813 - TRASTORNO MIXTO DE LAS HABILIDADES ESCOLARES;5;3;;;2019
F818 - OTROS TRASTORNOS DEL DESARROLLO DE LAS HABILIDADES ESCOLARES;5;5;;;2019
F819 - TRASTORNO DEL DESARROLLO DE LAS HABILIDADES ESCOLARES, NO ESPECIFICADO;8;11;;;2019
F82X - TRASTORNO ESPECIFICO DEL DESARROLLO DE LA FUNCION MOTRIZ;2;2;;;2019
F83X - TRASTORNOS ESPECIFICOS MIXTOS DEL DESARROLLO;;;;;2019
F840 - AUTISMO EN LA NIÑEZ;1;1;;;2019
F844 - TRASTORNO HIPERACTIVO ASOCIADO CON RETRASO MENTAL Y MOVIMIENTOS ESTEREOTIPADOS;;;;;2019
F845 - SINDROME DE ASPERGER;;1;;;2019
F848 - OTROS TRASTORNOS GENERALIZADOS DEL DESARROLLO;;3;;;2019
F849 - TRASTORNO GENERALIZADO DEL DESARROLLO NO ESPECIFICADO;;1;;;2019
F88X - OTROS TRASTORNOS DEL DESARROLLO PSICOLOGICO;;;;;2019
F89X - TRASTORNO DEL DESARROLLO PSICOLOGICO, NO ESPECIFICADO;;1;;;2019
F900 - PERTURBACION DE LA ACTIVIDAD Y DE LA ATENCION;2;17;;1;2019
F901 - TRASTORNO HIPERCINETICO DE LA CONDUCTA;2;3;;;2019
F908 - OTROS TRASTORNOS HIPERCINETICOS;;;;;2019
F909 - TRASTORNO HIPERCINETICO, NO ESPECIFICADO;;1;;;2019
F910 - TRASTORNO DE LA CONDUCTA LIMITADO AL CONTEXTO FAMILIAR;1;2;;;2019
F911 - TRASTORNO DE LA CONDUCTA INSOCIABLE;1;;;;2019
F912 - TRASTORNO DE LA CONDUCTA SOCIABLE;;1;;;2019
F913 - TRASTORNO OPOSITOR DESAFIANTE;1;1;;;2019
F918 - OTROS TRASTORNOS DE LA CONDUCTA;5;10;;;2019
F919 - TRASTORNO DE LA CONDUCTA, NO ESPECIFICADO;8;8;;;2019
F920 - TRASTORNO DEPRESIVO DE LA CONDUCTA;1;1;;;2019
F928 - OTROS TRASTORNOS MIXTOS DE LA CONDUCTA Y DE LAS EMOCIONES;3;2;;;2019
F929 - TRASTORNO MIXTO DE LA CONDUCTA Y DE LAS EMOCIONES, NO ESPECIFICADO;6;3;;;2019
F930 - TRASTORNO DE ANSIEDAD DE SEPARACION EN LA NIÑEZ;1;;;;2019
F931 - TRASTORNO DE ANSIEDAD FOBICA EN LA NIÑEZ;1;;;;2019
F932 - TRASTORNO DE ANSIEDAD SOCIAL EN LA NIÑEZ;1;;;;2019
F933 - TRASTORNO DE RIVALIDAD ENTRE HERMANOS;;;;;2019
F938 - OTROS TRASTORNOS EMOCIONALES EN LA NIÑEZ;;;;;2019
F939 - TRASTORNO EMOCIONAL EN LA NIÑEZ, NO ESPECIFICADO;;;;;2019
F940 - MUTISMO ELECTIVO;;;;;2019
F948 - OTROS TRASTORNOS DEL COMPORTAMIENTO SOCIAL EN LA NIÑEZ;7;6;;;2019
F949 - TRASTORNO DEL COMPORTAMIENTO SOCIAL EN LA NIÑEZ, NO ESPECIFICADO;;7;;;2019
F950 - TRASTORNO POR TIC TRANSITORIO;1;;;;2019
F951 - TRASTORNO POR TIC MOTOR O VOCAL CRONICO;;;;;2019
F952 - TRASTORNOS POR TICS MOTORES Y VOCALES MULTIPLES COMBINADOS [DE LA TOURETTE];;1;;;2019
F958 - OTROS TRASTORNOS POR TIC;;;;;2019
F980 - ENURESIS NO ORGANICA;4;1;;;2019
F982 - TRASTORNO DE LA INGESTION ALIMENTARIA EN LA INFANCIA Y EN LA NIÑEZ;;1;;;2019
F983 - PICA EN LA INFANCIA Y LA NIÑEZ;;;;;2019
F984 - TRASTORNOS DE LOS MOVIMIENTOS ESTEREOTIPADOS;1;;;;2019
F985 - TARTAMUDEZ [ESPASMOFEMIA];;;;;2019
F986 - FARFULLEO;;;;;2019
F988 - OTROS TRASTORNOS EMOCIONALES Y DEL COMPORTAMIENTO QUE APARECEN HABITUALMENTE EN LA NIÑEZ Y EN LA ADOLESCENCIA;30;18;;;2019
F989 - TRASTORNOS NO ESPECIFICADOS, EMOCIONALES Y DEL COMPORTAMIENTO, QUE APARECEN HABITUALMENTE EN LA NIÑEZ Y EN LA ADOLESCENCIA;7;2;;1;2019
F99X - TRASTORNO MENTAL, NO ESPECIFICADO;2;;;;2019
17662 - Samaná;209;167;;;2019
F000 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, DE COMIENZO TEMPRANO (G30.0†);;;;;2019
F001 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, DE COMIENZO TARDIO (G30.1†);3;1;;;2019
F002 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, ATIPICA O DE TIPO MIXTO (G30.8†);;;;;2019
F009 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, NO ESPECIFICADA (G30.9†);1;2;;;2019
F011 - DEMENCIA VASCULAR POR INFARTOS MULTIPLES;1;;;;2019
F012 - DEMENCIA VASCULAR SUBCORTICAL;;;;;2019
F018 - OTRAS DEMENCIAS VASCULARES;;;;;2019
F019 - DEMENCIA VASCULAR, NO ESPECIFICADA;1;1;;;2019
F023 - DEMENCIA EN LA ENFERMEDAD DE PARKINSON (G20†);2;;;;2019
F028 - DEMENCIA EN OTRAS ENFERMEDADES ESPECIFICADAS CLASIFICADAS EN OTRA PARTE;;1;;;2019
F03X - DEMENCIA , NO ESPECIFICADA;4;3;;;2019
F051 - DELIRIO SUPERPUESTO A UN CUADRO DE DEMENCIA;;;;;2019
F059 - DELIRIO, NO ESPECIFICADO;2;1;;;2019
F062 - TRASTORNO DELIRANTE [ESQUIZOFRENIFORME], ORGANICO;;;;;2019
F063 - TRASTORNOS DEL HUMOR [AFECTIVOS], ORGANICOS;;;;;2019
F064 - TRASTORNO DE ANSIEDAD, ORGANICO;1;;;;2019
F066 - TRASTORNO DE LABILIDAD EMOCIONAL [ASTENICO], ORGANICO;;;;;2019
F067 - TRASTORNO COGNOSCITIVO LEVE;1;2;;;2019
F068 - OTROS TRASTORNOS MENTALES ESPECIFICADOS DEBIDOS A LESION Y DISFUNCION CEREBRAL Y A ENFERMEDAD FISICA;1;1;;;2019
F069 - TRASTORNO MENTAL NO ESPECIFICADO DEBIDO A LESION Y DISFUNCION CEREBRAL Y A ENFERMEDAD FISICA;1;1;;;2019
F070 - TRASTORNO DE LA PERSONALIDAD, ORGANICO;;;;;2019
F072 - SINDROME POSTCONCUSIONAL;;1;;;2019
F078 - OTROS TRASTORNOS ORGANICOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO DEBIDOS A ENFERMEDAD, LESION Y DISFUNCION CEREBRALES;;;;;2019
F079 - TRASTORNO ORGANICO DE LA PERSONALIDAD Y DEL COMPORTAMIENTO, NO ESPECIFICADO, DEBIDO A ENFERMEDAD, LESION Y DISFUNCION CEREBRAL;;;;;2019
F09X - TRASTORNO MENTAL ORGANICO O SINTOMATICO, NO ESPECIFICADO;3;2;;;2019
F100 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: INTOXICACION AGUDA;1;;;;2019
F101 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: USO NOCIVO;1;;;;2019
F102 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: SINDROME DE DEPENDENCIA;;;;;2019
F103 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: ESTADO DE ABSTINENCIA;;1;;;2019
F105 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: TRASTORNO PSICOTICO;1;;;;2019
F108 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;1;;;2019
F109 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;;;;;2019
F113 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: ESTADO DE ABSTINENCIA;;1;;;2019
F119 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;;;;;2019
F120 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: INTOXICACION AGUDA;;1;;;2019
F121 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: USO NOCIVO;;;;;2019
F122 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: SINDROME DE DEPENDENCIA;;;;;2019
F123 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: ESTADO DE ABSTINENCIA;;;;;2019
F125 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: TRASTORNO PSICOTICO;;;;;2019
F128 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;;;;2019
