;AÑOS;;;;;;
C679 - TUMOR MALIGNO DE LA VEJIGA URINARIA, PARTE NO ESPECIFICADA;;1;;;;;1
C690 - TUMOR MALIGNO DE LA CONJUNTIVA;;;;;;1;1
C698 - LESION DE SITIOS CONTIGUOS DEL OJO Y SUS ANEXOS;2;2;1;;2;4;11
C700 - TUMOR MALIGNO DE LAS MENINGES CEREBRALES;;;;;;1;1
C710 - TUMOR MALIGNO DEL CEREBRO, EXCEPTO LOBULOS Y VENTRICULOS;1;;;;;1;2
C711 - TUMOR MALIGNO DEL LOBULO FRONTAL;;;;;;;
C712 - TUMOR MALIGNO DEL LOBULO TEMPORAL;;;;;;1;1
C716 - TUMOR MALIGNO DEL CEREBELO;;;1;;;;1
C719 - TUMOR MALIGNO DEL ENCEFALO, PARTE NO ESPECIFICADA;;;;;;2;2
C720 - TUMOR MALIGNO DE LA MEDULA ESPINAL;;;;;;1;1
C729 - TUMOR MALIGNO DEL SISTEMA NERVIOSO CENTRAL, SIN OTRA ESPECIFICACION;;;;;;;
C73X - TUMOR MALIGNO DE LA GLANDULA TIROIDES;2;1;2;1;2;2;10
C749 - TUMOR MALIGNO DE LA GLANDULA SUPRARRENAL, PARTE NO ESPECIFICADA;1;;;;;;1
C759 - TUMOR MALIGNO DE GLANDULA ENDOCRINA NO ESPECIFICADA;;;;;;;
C760 - TUMOR MALIGNO DE LA CABEZA, CARA Y CUELLO;;1;;1;;1;3
C762 - TUMOR MALIGNO DEL ABDOMEN;;;;1;;;1
C765 - TUMOR MALIGNO DEL MIEMBRO INFERIOR;1;;;;;;1
C770 - TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS DE LA CABEZA, CARA Y CUELLO;;1;1;1;;;3
C782 - TUMOR MALIGNO SECUNDARIO DE LA PLEURA;1;;;;;;1
C786 - TUMOR MALIGNO SECUNDARIO DEL PERITONEO Y DEL RETROPERITONEO;;1;;;;;1
C793 - TUMOR MALIGNO SECUNDARIO DEL ENCEFALO Y DE LAS MENINGES CEREBRALES;;;1;;;;1
C80X - TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS;1;;;1;;;2
17446 - Marulanda;7;5;7;2;8;2;31
C008 - LESION DE SITIOS CONTIGUOS DEL LABIO;;;1;;;;1
C028 - LESION DE SITIOS CONTIGUOS DE LA LENGUA;1;;;;;;1
C058 - LESION DE SITIOS CONTIGUOS DEL PALADAR;;;;;;;
C068 - LESION DE SITIOS CONTIGUOS DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA BOCA;;1;;;;;1
C161 - TUMOR MALIGNO DEL FUNDUS GASTRICO;;;;;1;;1
C163 - TUMOR MALIGNO DEL ANTRO PILORICO;;;1;;1;;2
C165 - TUMOR MALIGNO DE LA CURVATURA MENOR DEL ESTOMAGO, SIN OTRA ESPECIFICACION;;;;;;;
C169 - TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;;;1;;;;1
C171 - TUMOR MALIGNO DEL YEYUNO;;;;;;1;1
C181 - TUMOR MALIGNO DEL APENDICE;;;;;;;
C182 - TUMOR MALIGNO DEL COLON ASCENDENTE;;1;;;;;1
C189 - TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;;;;;;;
C20X - TUMOR MALIGNO DEL RECTO;;2;;;;;2
C23X - TUMOR MALIGNO DE LA VESICULA BILIAR;1;;;;;;1
C249 - TUMOR MALIGNO DE LAS VIAS BILIARES, PARTE NO ESPECIFICADA;;;;;;;
C269 - TUMOR MALIGNO DE SITIOS MAL DEFINIDOS DE LOS ORGANOS DIGESTIVOS;;;;;;;
C340 - TUMOR MALIGNO DEL BRONQUIO PRINCIPAL;;;;;;;
C349 - TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;1;;;;;;1
C384 - TUMOR MALIGNO DE LA PLEURA;;;;;;;
C409 - TUMOR MALIGNO DE LOS HUESOS Y DE LOS CARTILAGOS ARTICULARES DE LOS MIEMBROS, SIN OTRA ESPECIFICACION;;;;;;;
C442 - TUMOR MALIGNO DE LA PIEL DE LA OREJA Y DEL CONDUCTO AUDITIVO EXTERNO;;;;;;;
C443 - TUMOR MALIGNO DE LA PIEL DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA;;;;;;;
C494 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL ABDOMEN;;;1;;;;1
C502 - TUMOR MALIGNO DEL CUADRANTE SUPERIOR INTERNO DE LA MAMA;;;;;1;;1
C504 - TUMOR MALIGNO DEL CUADRANTE SUPERIOR EXTERNO DE LA MAMA;1;;1;;1;;3
C506 - TUMOR MALIGNO DE LA PROLONGACION AXILAR DE LA MAMA;;;1;;1;;2
C509 - TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;2;;2;;4;;8
C530 - TUMOR MALIGNO DEL ENDOCERVIX;;;;;;;
C56X - TUMOR MALIGNO DEL OVARIO;2;;1;;;;3
C61X - TUMOR MALIGNO DE LA PROSTATA;;1;;1;;;2
C65X - TUMOR MALIGNO DE LA PELVIS RENAL;;;;;;;
C690 - TUMOR MALIGNO DE LA CONJUNTIVA;;;;;;;
C73X - TUMOR MALIGNO DE LA GLANDULA TIROIDES;1;1;1;1;3;1;8
C759 - TUMOR MALIGNO DE GLANDULA ENDOCRINA NO ESPECIFICADA;;;;;;1;1
17486 - Neira;109;64;140;99;112;70;594
C008 - LESION DE SITIOS CONTIGUOS DEL LABIO;;;2;2;;;4
C01X - TUMOR MALIGNO DE LA BASE DE LA LENGUA;1;;;;;;1
C024 - TUMOR MALIGNO DE LA AMIGDALA LINGUAL;;;;;;;
C028 - LESION DE SITIOS CONTIGUOS DE LA LENGUA;1;;1;;;;2
C029 - TUMOR MALIGNO DE LA LENGUA, PARTE NO ESPECIFICADA;1;;2;;;;3
C030 - TUMOR MALIGNO DE LA ENCIA SUPERIOR;;;;1;;;1
C039 - TUMOR MALIGNO DE LA ENCIA, PARTE NO ESPECIFICADA;1;;;;;;1
C048 - LESION DE SITIOS CONTIGUOS DEL PISO DE LA BOCA;;;;;;;
C049 - TUMOR MALIGNO DEL PISO DE LA BOCA, PARTE NO ESPECIFICADA;;;;;;;
C058 - LESION DE SITIOS CONTIGUOS DEL PALADAR;1;;;;;;1
C060 - TUMOR MALIGNO DE LA MUCOSA DE LA MEJILLA;;;;1;;;1
C068 - LESION DE SITIOS CONTIGUOS DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA BOCA;1;4;;;;;5
C069 - TUMOR MALIGNO DE LA BOCA, PARTE NO ESPECIFICADA;;;;;;;
C07X - TUMOR MALIGNO DE LA GLANDULA PAROTIDA;;;1;;;1;2
C080 - TUMOR MALIGNO DE LA GLANDULA SUBMAXILAR;;;;;;;
C088 - LESION DE SITIOS CONTIGUOS DE LAS GLANDULAS SALIVALES MAYORES;;;;;;;
C098 - LESION DE SITIOS CONTIGUOS DE LA AMIGDALA;1;;1;;;;2
C099 - TUMOR MALIGNO DE LA AMIGDALA, PARTE NO ESPECIFICADA;;;;1;;1;2
C108 - LESION DE SITIOS CONTIGUOS DE LA OROFARINGE;;;;;;;
C118 - LESION DE SITIOS CONTIGUOS DE LA NASOFARINGE;;;;;;1;1
C119 - TUMOR MALIGNO DE LA NASOFARINGE, PARTE NO ESPECIFICADA;;;1;;;;1
C139 - TUMOR MALIGNO DE LA HIPOFARINGE, PARTE NO ESPECIFICADA;;;;1;;;1
C148 - LESION DE SITIOS CONTIGUOS DEL LABIO, DE LA CAVIDAD BUCAL Y DE LA LARINGE;;1;;;;;1
C151 - TUMOR MALIGNO DEL ESOFAGO, PORCION TORACICA;;1;1;3;;;5
C152 - TUMOR MALIGNO DEL ESOFAGO, PORCION ABDOMINAL;;1;;2;;1;4
C153 - TUMOR MALIGNO DEL TERCIO SUPERIOR DEL ESOFAGO;;;;;;;
C154 - TUMOR MALIGNO DEL TERCIO MEDIO DEL ESOFAGO;;1;;2;;1;4
C155 - TUMOR MALIGNO DEL TERCIO INFERIOR DEL ESOFAGO;1;1;;2;;2;6
C158 - LESION DE SITIOS CONTIGUOS DEL ESOFAGO;2;1;1;1;;;5
C159 - TUMOR MALIGNO DEL ESOFAGO, PARTE NO ESPECIFICADA;;1;;1;;1;3
C160 - TUMOR MALIGNO DEL CARDIAS;;;;;;;
C161 - TUMOR MALIGNO DEL FUNDUS GASTRICO;;2;;;;2;4
C162 - TUMOR MALIGNO DEL CUERPO DEL ESTOMAGO;;2;1;3;1;1;8
C163 - TUMOR MALIGNO DEL ANTRO PILORICO;;;1;1;;1;3
C165 - TUMOR MALIGNO DE LA CURVATURA MENOR DEL ESTOMAGO, SIN OTRA ESPECIFICACION;;;2;1;1;;4
C168 - LESION DE SITIOS CONTIGUOS DEL ESTOMAGO;;1;;;1;;2
C169 - TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;2;3;3;4;1;5;18
C170 - TUMOR MALIGNO DEL DUODENO;;;;1;;1;2
C172 - TUMOR MALIGNO DEL ILEON;;;;1;1;;2
C179 - TUMOR MALIGNO DEL INTESTINO DELGADO, PARTE NO ESPECIFICADA;;1;;;;;1
C180 - TUMOR MALIGNO DEL CIEGO;;;;;1;1;2
C181 - TUMOR MALIGNO DEL APENDICE;1;;;;;;1
C182 - TUMOR MALIGNO DEL COLON ASCENDENTE;1;;2;;;1;4
C184 - TUMOR MALIGNO DEL COLON TRANSVERSO;1;;1;1;1;1;5
C185 - TUMOR MALIGNO DEL ANGULO ESPLENICO;;;;;;;
C186 - TUMOR MALIGNO DEL COLON DESCENDENTE;1;;1;1;;;3
C187 - TUMOR MALIGNO DEL COLON SIGMOIDE;2;;2;1;4;1;10
C188 - LESION DE SITIOS CONTIGUOS DEL COLON;2;;1;1;;;4
C189 - TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;3;;1;1;;1;6
C19X - TUMOR MALIGNO DE LA UNION RECTOSIGMOIDEA;;;;;;1;1
C20X - TUMOR MALIGNO DEL RECTO;2;3;3;3;3;1;15
C210 - TUMOR MALIGNO DEL ANO, PARTE NO ESPECIFICADA;;1;;;1;;2
C211 - TUMOR MALIGNO DEL CONDUCTO ANAL;;1;;;1;;2
C229 - TUMOR MALIGNO DEL HIGADO, NO ESPECIFICADO;;;;;1;;1
C23X - TUMOR MALIGNO DE LA VESICULA BILIAR;1;;;;;;1
C241 - TUMOR MALIGNO DE LA AMPOLLA DE VATER;;;;;;2;2
C249 - TUMOR MALIGNO DE LAS VIAS BILIARES, PARTE NO ESPECIFICADA;1;;;;;;1
C250 - TUMOR MALIGNO DE LA CABEZA DEL PANCREAS;1;;1;;1;;3
C251 - TUMOR MALIGNO DEL CUERPO DEL PANCREAS;;;;;1;;1
C258 - LESION DE SITIOS CONTIGUOS DEL PANCREAS;2;;2;;;;4
C259 - TUMOR MALIGNO DEL PANCREAS, PARTE NO ESPECIFICADA;;;;;;;
C268 - LESION DE SITIOS CONTIGUOS DE LOS ORGANOS DIGESTIVOS;1;;;;;;1
C269 - TUMOR MALIGNO DE SITIOS MAL DEFINIDOS DE LOS ORGANOS DIGESTIVOS;;1;;;;;1
C300 - TUMOR MALIGNO DE LA FOSA NASAL;1;;1;;;;2
C310 - TUMOR MALIGNO DEL SENO MAXILAR;1;;1;1;1;;4
C313 - TUMOR MALIGNO DEL SENO ESFENOIDAL;1;;;;;;1
C320 - TUMOR MALIGNO DE LA GLOTIS;;1;;;;;1
C323 - TUMOR MALIGNO DEL CARTILAGO LARINGEO;;;;;;1;1
C328 - LESION DE SITIOS CONTIGUOS DE LA LARINGE;1;;;;;1;2
C329 - TUMOR MALIGNO DE LA LARINGE, PARTE NO ESPECIFICADA;;1;;2;;2;5
C340 - TUMOR MALIGNO DEL BRONQUIO PRINCIPAL;;;;;1;1;2
C341 - TUMOR MALIGNO DEL LOBULO SUPERIOR, BRONQUIO O PULMON;;2;;;;;2
C342 - TUMOR MALIGNO DEL LOBULO MEDIO, BRONQUIO O PULMON;;;;;1;;1
C343 - TUMOR MALIGNO DEL LOBULO INFERIOR, BRONQUIO O PULMON;;;1;2;;1;4
C348 - LESION DE SITIOS CONTIGUOS DE LOS BRONQUIOS Y DEL PULMON;;2;2;1;;;5
C349 - TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;;;3;3;1;2;9
C37X - TUMOR MALIGNO DEL TIMO;;;;;;;
C384 - TUMOR MALIGNO DE LA PLEURA;;;;;;;
C388 - LESION DE SITIOS CONTIGUOS DEL CORAZON, DEL MEDIASTINO Y DE LA PLEURA;1;;;;;;1
C398 - LESION DE SITIOS CONTIGUOS DE LOS ORGANOS RESPIRATORIOS E INTRATORACICOS;;;1;;;;1
C402 - TUMOR MALIGNO DE LOS HUESOS LARGOS DEL MIEMBRO INFERIOR;;;;;;;
C408 - LESION DE SITIOS CONTIGUOS DE LOS HUESOS Y DE LOS CARTILAGOS ARTICULARES DE LOS MIEMBROS;;;;;;1;1
C409 - TUMOR MALIGNO DE LOS HUESOS Y DE LOS CARTILAGOS ARTICULARES DE LOS MIEMBROS, SIN OTRA ESPECIFICACION;;1;;;;;1
C412 - TUMOR MALIGNO DE LA COLUMNA VERTEBRAL;1;;;;;;1
C414 - TUMOR MALIGNO DE LOS HUESOS DE LA PELVIS, SACRO Y COCCIX;;;;1;;;1
C432 - MELANOMA MALIGNO DE LA OREJA Y DEL CONDUCTO AUDITIVO EXTERNO;;;1;;;;1
C433 - MELANOMA MALIGNO DE LAS OTRAS PARTES Y LAS NO ESPECIFICADAS DE LA CARA;;;1;;1;;2
C434 - MELANOMA MALIGNO DEL CUERO CABELLUDO Y DEL CUELLO;1;;1;;;;2
C435 - MELANOMA MALIGNO DEL TRONCO;1;1;1;;1;;4
C437 - MELANOMA MALIGNO DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA;;;1;;;1;2
C439 - MELANOMA MALIGNO DE PIEL, SITIO NO ESPECIFICADO;1;;1;;;;2
C440 - TUMOR MALIGNO DE LA PIEL DEL LABIO;;;1;;;;1
C441 - TUMOR MALIGNO DE LA PIEL DEL PARPADO, INCLUIDA LA COMISURA PALPEBRAL;;;;2;;1;3
C442 - TUMOR MALIGNO DE LA PIEL DE LA OREJA Y DEL CONDUCTO AUDITIVO EXTERNO;;;1;1;2;1;5
C443 - TUMOR MALIGNO DE LA PIEL DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA;20;11;33;27;25;16;132
C444 - TUMOR MALIGNO DE LA PIEL DEL CUERO CABELLUDO Y DEL CUELLO;1;1;1;1;;;4
C445 - TUMOR MALIGNO DE LA PIEL DEL TRONCO;2;1;;1;1;1;6
C446 - TUMOR MALIGNO DE LA PIEL DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO;;;;;;2;2
C447 - TUMOR MALIGNO DE LA PIEL DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA;1;;;1;;1;3
C449 - TUMOR MALIGNO DE LA PIEL, SITIO NO ESPECIFICADO;4;4;;3;1;;12
C473 - TUMOR MALIGNO DE LOS NERVIOS PERIFERICOS DEL TORAX;;;;;;;
C478 - LESION DE SITIOS CONTIGUOS DE LOS NERVIOS PERIFERICOS Y DEL SISTEMA NERVIOSO AUTONOMO;;1;;;;;1
C480 - TUMOR MALIGNO DEL RETROPERITONEO;;;;;;;
C482 - TUMOR MALIGNO DEL PERITONEO, SIN OTRA ESPECIFICACION;;1;1;;;;2
C490 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DE LA CABEZA, CARA Y CUELLO;;;;1;1;;2
C491 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO;;2;1;1;;1;5
C492 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA;;;;;1;;1
C493 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL TORAX;;1;;1;;1;3
C494 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL ABDOMEN;;;;;;1;1
C499 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO, DE SITIO NO ESPECIFICADO;1;;1;;;;2
C501 - TUMOR MALIGNO DE LA PORCION CENTRAL DE LA MAMA;3;;3;;1;;7
C502 - TUMOR MALIGNO DEL CUADRANTE SUPERIOR INTERNO DE LA MAMA;3;;3;1;3;;10
C503 - TUMOR MALIGNO DEL CUADRANTE INFERIOR INTERNO DE LA MAMA;1;;1;;1;;3
C504 - TUMOR MALIGNO DEL CUADRANTE SUPERIOR EXTERNO DE LA MAMA;10;;17;;11;;38
C505 - TUMOR MALIGNO DEL CUADRANTE INFERIOR EXTERNO DE LA MAMA;1;;4;;4;;9
C506 - TUMOR MALIGNO DE LA PROLONGACION AXILAR DE LA MAMA;;;1;;;;1
C509 - TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;17;;20;;28;1;66
C510 - TUMOR MALIGNO DEL LABIO MAYOR;1;;;;;;1
C530 - TUMOR MALIGNO DEL ENDOCERVIX;;;3;;1;;4
C531 - TUMOR MALIGNO DE EXOCERVIX;2;;4;;5;;11
C539 - TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;1;;4;;1;;6
C541 - TUMOR MALIGNO DEL ENDOMETRIO;3;;2;;5;;10
C55X - TUMOR MALIGNO DEL UTERO, PARTE NO ESPECIFICADA;;;1;;2;;3
C56X - TUMOR MALIGNO DEL OVARIO;5;;7;;6;;18
C574 - TUMOR MALIGNO DE LOS ANEXOS UTERINOS, SIN OTRA ESPECIFICACIÓN;;;;;1;;1
C602 - TUMOR MALIGNO DEL CUERPO DEL PENE;;;;;;1;1
C608 - LESION DE SITIOS CONTIGUOS DEL PENE;;1;;2;;1;4
C61X - TUMOR MALIGNO DE LA PROSTATA;;7;;14;;12;33
C621 - TUMOR MALIGNO DEL TESTICULO DESCENDIDO;;1;;2;;;3
C629 - TUMOR MALIGNO DEL TESTICULO, NO ESPECIFICADO;;;;;;;
C638 - LESION DE SITIOS CONTIGUOS DE LOS ORGANOS GENITALES MASCULINOS;;;;1;;2;3
C64X - TUMOR MALIGNO DEL RIÑON, EXCEPTO DE LA PELVIS RENAL;;;1;2;;2;5
C670 - TUMOR MALIGNO DEL TRIGONO VESICAL;;1;;;;;1
C672 - TUMOR MALIGNO DE LA PARED LATERAL DE LA VEJIGA;;1;;1;;;2
C674 - TUMOR MALIGNO DE LA PARED POSTERIOR DE LA VEJIGA;;;;;;;
C679 - TUMOR MALIGNO DE LA VEJIGA URINARIA, PARTE NO ESPECIFICADA;;2;1;4;1;;8
C690 - TUMOR MALIGNO DE LA CONJUNTIVA;;;;1;;;1
C692 - TUMOR MALIGNO DE LA RETINA;;;;;;;
C696 - TUMOR MALIGNO DE LA ORBITA;1;;;;;;1
C698 - LESION DE SITIOS CONTIGUOS DEL OJO Y SUS ANEXOS;1;;;1;;1;3
C699 - TUMOR MALIGNO DEL OJO, PARTE NO ESPECIFICADA;;;;;;;
C710 - TUMOR MALIGNO DEL CEREBRO, EXCEPTO LOBULOS Y VENTRICULOS;1;1;1;;;;3
C711 - TUMOR MALIGNO DEL LOBULO FRONTAL;1;;1;;2;;4
C712 - TUMOR MALIGNO DEL LOBULO TEMPORAL;1;;;;;;1
C716 - TUMOR MALIGNO DEL CEREBELO;;2;;1;1;1;5
C718 - LESION DE SITIOS CONTIGUOS DEL ENCEFALO;;1;;;;;1
C720 - TUMOR MALIGNO DE LA MEDULA ESPINAL;;1;;;;;1
C728 - LESION DE SITIOS CONTIGUOS DEL ENCEFALO Y OTRAS PARTES DEL SISTEMA NERVIOSO CENTRAL;;1;;;;;1
C729 - TUMOR MALIGNO DEL SISTEMA NERVIOSO CENTRAL, SIN OTRA ESPECIFICACION;;;;;;;
C73X - TUMOR MALIGNO DE LA GLANDULA TIROIDES;6;1;13;2;13;1;36
C751 - TUMOR MALIGNO DE LA HIPOFISIS;;;1;;;1;2
C759 - TUMOR MALIGNO DE GLANDULA ENDOCRINA NO ESPECIFICADA;;;;;;;
C760 - TUMOR MALIGNO DE LA CABEZA, CARA Y CUELLO;2;;1;;1;;4
C761 - TUMOR MALIGNO DEL TORAX;;;;;;;
C762 - TUMOR MALIGNO DEL ABDOMEN;;;1;;;;1
C768 - LESION DE SITIOS CONTIGUOS MAL DEFINIDOS;;;;1;;;1
C770 - TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS DE LA CABEZA, CARA Y CUELLO;1;1;3;1;1;;7
C773 - TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS DE LA AXILA Y DEL MIEMBRO SUPERIOR;;;;;;;
C778 - TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS DE REGIONES MULTIPLES;;;;;;;
C779 - TUMOR MALIGNO DEL GANGLIO LINFATICO, SITIO NO ESPECIFICADO;;;;1;;1;2
C782 - TUMOR MALIGNO SECUNDARIO DE LA PLEURA;;;;1;;;1
C785 - TUMOR MALIGNO SECUNDARIO DEL INTESTINO GRUESO Y DEL RECTO;;;;;;1;1
C787 - TUMOR MALIGNO SECUNDARIO DEL HIGADO;;;;;;;
C793 - TUMOR MALIGNO SECUNDARIO DEL ENCEFALO Y DE LAS MENINGES CEREBRALES;;;;1;1;;2
C795 - TUMOR MALIGNO SECUNDARIO DE LOS HUESOS Y DE LA MEDULA OSEA;;;1;;;;1
C796 - TUMOR MALIGNO SECUNDARIO DEL OVARIO;1;;;;;;1
C80X - TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS;2;;;1;;;3
17495 - Norcasia;14;14;21;12;13;13;87
C001 - TUMOR MALIGNO DEL LABIO INFERIOR, CARA EXTERNA;;;;;1;;1
C009 - TUMOR MALIGNO DEL LABIO, PARTE NO ESPECIFICADA;;;;;1;;1
C028 - LESION DE SITIOS CONTIGUOS DE LA LENGUA;;;;;;;
C048 - LESION DE SITIOS CONTIGUOS DEL PISO DE LA BOCA;;;4;1;;;5
C058 - LESION DE SITIOS CONTIGUOS DEL PALADAR;1;;;1;;;2
C068 - LESION DE SITIOS CONTIGUOS DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA BOCA;2;;2;1;;;5
C07X - TUMOR MALIGNO DE LA GLANDULA PAROTIDA;;;;;;;
C081 - TUMOR MALIGNO DE LA GLANDULA SUBLINGUAL;1;;;;;;1
C098 - LESION DE SITIOS CONTIGUOS DE LA AMIGDALA;;;;;1;;1
C099 - TUMOR MALIGNO DE LA AMIGDALA, PARTE NO ESPECIFICADA;;;;;;;
C108 - LESION DE SITIOS CONTIGUOS DE LA OROFARINGE;;;;;;;
C140 - TUMOR MALIGNO DE LA FARINGE, PARTE NO ESPECIFICADA;;;;;;;
C159 - TUMOR MALIGNO DEL ESOFAGO, PARTE NO ESPECIFICADA;;;;;;;
C163 - TUMOR MALIGNO DEL ANTRO PILORICO;;;;;;;
C166 - TUMOR MALIGNO DE LA CURVATURA MAYOR DEL ESTOMAGO, SIN OTRA ESPECIFICACION;;;;;;;
C169 - TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;;;;;;;
C179 - TUMOR MALIGNO DEL INTESTINO DELGADO, PARTE NO ESPECIFICADA;;1;;1;;1;3
C180 - TUMOR MALIGNO DEL CIEGO;;;;;;1;1
C182 - TUMOR MALIGNO DEL COLON ASCENDENTE;;;;;;1;1
C186 - TUMOR MALIGNO DEL COLON DESCENDENTE;1;;1;;;;2
C187 - TUMOR MALIGNO DEL COLON SIGMOIDE;2;;1;;;;3
C188 - LESION DE SITIOS CONTIGUOS DEL COLON;;;;;;;
C189 - TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;1;;2;;1;;4
C19X - TUMOR MALIGNO DE LA UNION RECTOSIGMOIDEA;;;;;;;
C20X - TUMOR MALIGNO DEL RECTO;;;;;;;
C229 - TUMOR MALIGNO DEL HIGADO, NO ESPECIFICADO;;;;;;;
C23X - TUMOR MALIGNO DE LA VESICULA BILIAR;;;1;;;1;2
C241 - TUMOR MALIGNO DE LA AMPOLLA DE VATER;;;;;;;
C258 - LESION DE SITIOS CONTIGUOS DEL PANCREAS;;;1;;;;1
C260 - TUMOR MALIGNO DEL INTESTINO, PARTE NO ESPECIFICADA;;;;;;;
C261 - TUMOR MALIGNO DEL BAZO;;;;;1;;1
C328 - LESION DE SITIOS CONTIGUOS DE LA LARINGE;1;;1;1;;1;4
C329 - TUMOR MALIGNO DE LA LARINGE, PARTE NO ESPECIFICADA;;2;;1;;2;5
C341 - TUMOR MALIGNO DEL LOBULO SUPERIOR, BRONQUIO O PULMON;;;;;;;
C342 - TUMOR MALIGNO DEL LOBULO MEDIO, BRONQUIO O PULMON;;;;;;1;1
C343 - TUMOR MALIGNO DEL LOBULO INFERIOR, BRONQUIO O PULMON;1;;1;;1;1;4
C348 - LESION DE SITIOS CONTIGUOS DE LOS BRONQUIOS Y DEL PULMON;;;;;;;
C349 - TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;;;;;;;
C390 - TUMOR MALIGNO DE LAS VIAS RESPIRATORIAS SUPERIORES, PARTE NO ESPECIFICADA;;;;;;;
C437 - MELANOMA MALIGNO DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA;;;;1;;;1
C439 - MELANOMA MALIGNO DE PIEL, SITIO NO ESPECIFICADO;;;;;;2;2
C442 - TUMOR MALIGNO DE LA PIEL DE LA OREJA Y DEL CONDUCTO AUDITIVO EXTERNO;;;;;;1;1
C443 - TUMOR MALIGNO DE LA PIEL DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA;1;2;;2;;2;7
C444 - TUMOR MALIGNO DE LA PIEL DEL CUERO CABELLUDO Y DEL CUELLO;;;;;;;
C446 - TUMOR MALIGNO DE LA PIEL DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO;;;;;;;
C449 - TUMOR MALIGNO DE LA PIEL, SITIO NO ESPECIFICADO;;;;;;;
C480 - TUMOR MALIGNO DEL RETROPERITONEO;;;1;;;;1
C481 - TUMOR MALIGNO DE PARTE ESPECIFICADA DEL PERITONEO;1;;;;;;1
C493 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL TORAX;;;;;;1;1
C494 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL ABDOMEN;;;;;;;
C501 - TUMOR MALIGNO DE LA PORCION CENTRAL DE LA MAMA;;;;;;;
C504 - TUMOR MALIGNO DEL CUADRANTE SUPERIOR EXTERNO DE LA MAMA;1;;;;;;1
C509 - TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;;;2;;1;;3
C52X - TUMOR MALIGNO DE LA VAGINA;;;;;;;
C530 - TUMOR MALIGNO DEL ENDOCERVIX;;;1;;1;;2
C531 - TUMOR MALIGNO DE EXOCERVIX;1;;1;;4;;6
C539 - TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;;;;;1;;1
C540 - TUMOR MALIGNO DEL ISTMO UTERINO;;;;;;;
C541 - TUMOR MALIGNO DEL ENDOMETRIO;1;;1;;1;;3
C549 - TUMOR MALIGNO DEL CUERPO DEL UTERO, PARTE NO ESPECIFICADA;;;;;;;
C56X - TUMOR MALIGNO DEL OVARIO;;;;;;;
